in_rxnorm_cui,rxnorm_cui,name,tty,source,dose,unit,mme_factor
6378,153973,Levorphanol Tartrate,PIN,rxnav,,,11
7238,154985,Nalbuphine Hydrochloride,PIN,rxnav,,,NULL
7804,159821,oxycodone terephthalate,PIN,rxnav,,,1.5
4337,197696,72 HR Fentanyl 0.075 MG/HR Transdermal System,SCD,rxnav,0.075,mg/hr,NULL
6378,197873,Levorphanol 2 MG Oral Tablet,SCD,rxnav,,,11
8001,199789,Pentazocine 50 MG Oral Tablet,SCD,rxnav,50,mg,0.37
6813,202370,Dolophine,BN,rxnav,,,NULL
1841,203170,Butorphanol Tartrate,PIN,rxnav,,,7
3423,203177,Hydromorphone Hydrochloride,PIN,rxnav,,,4
8001,203196,Pentazocine Lactate,PIN,rxnav,,,0.37
480,203203,Alfentanil hydrochloride,PIN,rxnav,,,NULL
7052,203240,Kadian,BN,rxnav,,,1
7052,203354,MS Contin,BN,rxnav,,,1
7052,203355,Duramorph,BN,rxnav,,,1
7052,203358,Infumorph,BN,rxnav,,,1
1819,203840,Buprenex,BN,rxnav,,,NULL
1819,203841,Buprenorphine hydrochloride,PIN,rxnav,,,NULL
2670,214160,Aspirin / butalbital / Caffeine / Codeine,MIN,rxnav,,,0.15
5489,214182,Acetaminophen / Hydrocodone,MIN,rxnav,,,1
7804,214183,Acetaminophen / Oxycodone,MIN,rxnav,,,1.5
8001,214185,Acetaminophen / Pentazocine,MIN,rxnav,,,0.37
2670,214237,anhydrous calcium iodide / Codeine,MIN,rxnav,,,0.15
5489,214253,Aspirin / Hydrocodone,MIN,rxnav,,,1
7804,214256,Aspirin / Oxycodone,MIN,rxnav,,,1.5
8001,214257,Aspirin / Pentazocine,MIN,rxnav,,,0.37
2670,214323,bromodiphenhydramine / Codeine,MIN,rxnav,,,0.15
2670,214327,Brompheniramine / Codeine / Phenylpropanolamine,MIN,rxnav,,,0.15
5489,214392,Chlorpheniramine / Hydrocodone,MIN,rxnav,,,1
5489,214409,Chlorpheniramine / Hydrocodone / Phenylephrine,MIN,rxnav,,,1
2670,214442,Codeine / Guaifenesin,MIN,rxnav,,,0.15
2670,214443,Codeine / iodinated glycerol,MIN,rxnav,,,0.15
2670,214444,Codeine / Promethazine,MIN,rxnav,,,0.15
2670,214445,Codeine / Pseudoephedrine,MIN,rxnav,,,0.15
2670,214447,Codeine / Guaifenesin / Phenylpropanolamine,MIN,rxnav,,,0.15
2670,214449,Codeine / Phenylephrine / Promethazine,MIN,rxnav,,,0.15
2670,214450,Codeine / Phenylephrine / Pyrilamine,MIN,rxnav,,,0.15
2670,214451,Codeine / Pseudoephedrine / Triprolidine,MIN,rxnav,,,0.15
5489,214594,Guaifenesin / Hydrocodone,MIN,rxnav,,,1
5489,214603,Guaifenesin / Hydrocodone / Phenylephrine,MIN,rxnav,,,1
5489,214604,Guaifenesin / Hydrocodone / Pseudoephedrine,MIN,rxnav,,,1
5489,214614,homatropine / Hydrocodone,MIN,rxnav,,,1
5489,214627,Hydrocodone / Ibuprofen,MIN,rxnav,,,1
5489,214628,Hydrocodone / Phenylephrine,MIN,rxnav,,,1
5489,214629,Hydrocodone / Phenylpropanolamine,MIN,rxnav,,,1
5489,214631,Hydrocodone / Pseudoephedrine,MIN,rxnav,,,1
5489,214633,Hydrocodone / Phenylephrine / Pyrilamine,MIN,rxnav,,,1
6754,214699,Meperidine / Promethazine,MIN,rxnav,,,0.1
8001,214721,Naloxone / Pentazocine,MIN,rxnav,,,0.37
4337,215008,Actiq,BN,rxnav,,,NULL
7676,215597,Belladonna Alkaloids / Opium,MIN,rxnav,,,1
2670,215768,Brontex,BN,rxnav,,,0.15
2670,215989,Cheracol with Codeine,BN,rxnav,,,0.15
2670,215992,Cheratussin DAC,BN,rxnav,,,0.15
7804,216903,Endocet,BN,rxnav,,,1.5
2670,217126,Fioricet with Codeine,BN,rxnav,,,0.15
2670,217127,Fiorinal with Codeine,BN,rxnav,,,0.15
2670,217453,Guiatuss AC,BN,rxnav,,,0.15
5489,217574,Hy-Phen,BN,rxnav,,,1
6813,218337,Methadone Hydrochloride,PIN,rxnav,,,NULL
2670,218549,Mytussin AC,BN,rxnav,,,0.15
5489,218772,Norco,BN,rxnav,,,1
2670,218809,Nucofed,BN,rxnav,,,0.15
7804,218986,Oxycontin,BN,rxnav,,,1.5
7804,218987,Oxyfast,BN,rxnav,,,1.5
5489,219013,P-V-Tussin,BN,rxnav,,,1
2670,219225,Phenylhistine DH,BN,rxnav,,,0.15
5489,219437,Prolex DH,BN,rxnav,,,1
2670,219689,Robafen AC,BN,rxnav,,,0.15
7804,219739,Roxicet,BN,rxnav,,,1.5
7804,219740,Roxicodone,BN,rxnav,,,1.5
23088,220143,Synalgos-DC,BN,rxnav,,,0.25
2670,220422,Triacin C,BN,rxnav,,,0.15
5489,220542,Tussigon,BN,rxnav,,,1
2670,220586,Tylenol with Codeine,BN,rxnav,,,0.15
10689,220606,Ultram,BN,rxnav,,,0.1
5489,220776,Ventuss,BN,rxnav,,,1
5489,220826,Vicoprofen,BN,rxnav,,,1
5489,221046,Zydone,BN,rxnav,,,1
5489,221107,HYDROCODONE POLISTIREX,PIN,rxnav,,,1
7676,221134,opium tincture,PIN,rxnav,,,1
3423,224913,Dilaudid,BN,rxnav,,,4
2670,235412,CODEINE POLISTIREX,PIN,rxnav,,,0.15
7052,235751,Morphine hydrochloride,PIN,rxnav,,,1
7052,235774,MORPHINE TARTRATE,PIN,rxnav,,,1
2670,236131,CODEINE ANHYD,PIN,rxnav,,,0.15
2670,236236,CODEINE CAMSYL,PIN,rxnav,,,0.15
73032,236540,Remifentanil hydrochloride,PIN,rxnav,,,NULL
5489,236931,HYDROCODONE HCL,PIN,rxnav,,,1
237005,237005,Levomethadyl,IN,rxnav,,,NULL
4337,245134,72 HR Fentanyl 0.025 MG/HR Transdermal System,SCD,rxnav,0.025,mg/hr,NULL
4337,245135,72 HR Fentanyl 0.05 MG/HR Transdermal System,SCD,rxnav,0.05,mg/hr,NULL
4337,245136,72 HR Fentanyl 0.1 MG/HR Transdermal System,SCD,rxnav,0.1,mg/hr,NULL
1819,246474,Buprenorphine 0.2 MG Sublingual Tablet,SCD,rxnav,0.2,mg,NULL
7804,247626,Oxycodone 10 MG Rectal Suppository,SCD,rxnav,10,mg,1.5
7804,247627,Oxycodone 20 MG Rectal Suppository,SCD,rxnav,20,mg,1.5
7804,248307,Oxycodone 30 MG Rectal Suppository,SCD,rxnav,30,mg,1.5
7676,248477,Belladonna Alkaloids 15 MG / Opium 65 MG Rectal Suppository,SCD,rxnav,65,mg,1
1819,250426,Buprenorphine 0.4 MG Sublingual Tablet,SCD,rxnav,0.4,mg,NULL
8001,250485,Pentazocine 25 MG Oral Tablet,SCD,rxnav,25,mg,0.37
8001,250486,Pentazocine 50 MG Oral Capsule,SCD,rxnav,50,mg,0.37
8001,250877,Pentazocine 50 MG Rectal Suppository,SCD,rxnav,50,mg,0.37
4337,261106,Fentanyl 0.2 MG Oral Lozenge [Actiq],SBD,rxnav,0.2,mg,NULL
4337,261107,Fentanyl 0.6 MG Oral Lozenge [Actiq],SBD,rxnav,0.6,mg,NULL
4337,261108,Fentanyl 0.8 MG Oral Lozenge [Actiq],SBD,rxnav,0.8,mg,NULL
4337,261109,Fentanyl 1.2 MG Oral Lozenge [Actiq],SBD,rxnav,1.2,mg,NULL
4337,261110,Fentanyl 1.6 MG Oral Lozenge [Actiq],SBD,rxnav,1.6,mg,NULL
4337,261184,72 HR Fentanyl 0.025 MG/HR Transdermal System [Duragesic],SBD,rxnav,0.025,mg/hr,NULL
4337,261185,72 HR Fentanyl 0.05 MG/HR Transdermal System [Duragesic],SBD,rxnav,0.05,mg/hr,NULL
4337,261186,72 HR Fentanyl 0.075 MG/HR Transdermal System [Duragesic],SBD,rxnav,0.075,mg/hr,NULL
4337,262071,72 HR Fentanyl 0.1 MG/HR Transdermal System [Duragesic],SBD,rxnav,0.1,mg/hr,NULL
4337,262219,Fentanyl 0.4 MG Oral Lozenge [Actiq],SBD,rxnav,0.4,mg,NULL
6754,282381,Demerol,BN,rxnav,,,0.1
5489,284630,carbinoxamine / Hydrocodone / Pseudoephedrine,MIN,rxnav,,,1
5489,284665,B-Tuss,BN,rxnav,,,1
4337,310292,Fentanyl 0.1 MG Oral Lozenge,SCD,rxnav,0.1,mg,NULL
4337,310293,Fentanyl 1.2 MG Oral Lozenge,SCD,rxnav,1.2,mg,NULL
4337,310294,Fentanyl 1.6 MG Oral Lozenge,SCD,rxnav,1.6,mg,NULL
4337,310295,Fentanyl 0.2 MG Oral Lozenge,SCD,rxnav,0.2,mg,NULL
4337,310296,Fentanyl 0.3 MG Oral Lozenge,SCD,rxnav,0.3,mg,NULL
4337,310297,Fentanyl 0.4 MG Oral Lozenge,SCD,rxnav,0.4,mg,NULL
237005,311297,Levomethadyl 10 MG/ML Oral Solution,SCD,rxnav,,,NULL
7676,312104,Belladonna Alkaloids 16.2 MG / Opium 30 MG Rectal Suppository,SCD,rxnav,30,mg,1
7676,312107,Belladonna Alkaloids 16.2 MG / Opium 60 MG Rectal Suppository,SCD,rxnav,60,mg,1
8001,312288,Acetaminophen 650 MG / Pentazocine 25 MG Oral Tablet,SCD,rxnav,25,mg,0.37
8001,312289,Naloxone 0.5 MG / Pentazocine 50 MG Oral Tablet,SCD,rxnav,50,mg,0.37
4337,313992,Fentanyl 0.6 MG Oral Lozenge,SCD,rxnav,0.6,mg,NULL
4337,313993,Fentanyl 0.8 MG Oral Lozenge,SCD,rxnav,0.8,mg,NULL
5489,314667,HYDROCODONE RESIN COMPLEX,PIN,rxnav,,,1
7676,316409,Opium 30 MG,SCDC,rxnav,30,mg,1
7676,317452,Opium 60 MG,SCDC,rxnav,60,mg,1
7804,323935,Oxycodone 20 MG,SCDC,rxnav,20,mg,1.5
4337,328183,Fentanyl 0.025 MG/HR,SCDC,rxnav,0.025,mg/hr,NULL
4337,328184,Fentanyl 0.1 MG/HR,SCDC,rxnav,0.1,mg/hr,NULL
4337,328186,Fentanyl 0.05 MG/HR,SCDC,rxnav,0.05,mg/hr,NULL
4337,328187,Fentanyl 0.075 MG/HR,SCDC,rxnav,0.075,mg/hr,NULL
4337,328264,Fentanyl 0.05 MG/ML,SCDC,rxnav,0.05,mg/ml,NULL
4337,328382,Fentanyl 1.5 MG/ML,SCDC,rxnav,1.5,mg/ml,NULL
4337,328383,Fentanyl 2.5 MG/ML,SCDC,rxnav,2.5,mg/ml,NULL
4337,328385,Fentanyl 0.2 MG,SCDC,rxnav,0.2,mg,NULL
4337,328387,Fentanyl 0.3 MG,SCDC,rxnav,0.3,mg,NULL
4337,328388,Fentanyl 0.4 MG,SCDC,rxnav,0.4,mg,NULL
8001,328396,Pentazocine 50 MG,SCDC,rxnav,50,mg,0.37
56795,328654,Sufentanil 0.05 MG/ML,SCDC,rxnav,0.05,mg/ml,NULL
480,328828,Alfentanil 0.5 MG/ML,SCDC,rxnav,0.5,mg/ml,NULL
8001,329085,Pentazocine 25 MG,SCDC,rxnav,25,mg,0.37
4337,329756,Fentanyl 0.1 MG,SCDC,rxnav,0.1,mg,NULL
237005,329902,Levomethadyl 10 MG/ML,SCDC,rxnav,,,NULL
6378,329903,Levorphanol 2 MG,SCDC,rxnav,,,11
4337,330335,Fentanyl 1.2 MG,SCDC,rxnav,1.2,mg,NULL
4337,330336,Fentanyl 1.6 MG,SCDC,rxnav,1.6,mg,NULL
4337,330337,Fentanyl 0.8 MG,SCDC,rxnav,0.8,mg,NULL
7804,330592,Oxycodone 10 MG,SCDC,rxnav,10,mg,1.5
1819,330801,Buprenorphine 0.3 MG/ML,SCDC,rxnav,0.3,mg/ml,NULL
8001,330810,Pentazocine 30 MG/ML,SCDC,rxnav,30,mg/ml,0.37
4337,330860,Fentanyl 0.6 MG,SCDC,rxnav,0.6,mg,NULL
7676,331158,Opium 65 MG,SCDC,rxnav,65,mg,1
7804,331533,Oxycodone 30 MG,SCDC,rxnav,30,mg,1.5
2670,331746,Codeine 50 MG/ML,SCDC,rxnav,50,mg/ml,0.15
1819,332698,Buprenorphine 0.2 MG,SCDC,rxnav,0.2,mg,NULL
1819,333623,Buprenorphine 0.4 MG,SCDC,rxnav,0.4,mg,NULL
1819,351264,Buprenorphine 2 MG Sublingual Tablet,SCD,rxnav,2,mg,NULL
1819,351265,Buprenorphine 8 MG Sublingual Tablet,SCD,rxnav,8,mg,NULL
1819,351266,Buprenorphine 2 MG / Naloxone 0.5 MG Sublingual Tablet,SCD,rxnav,2,mg,NULL
1819,351267,Buprenorphine 8 MG / Naloxone 2 MG Sublingual Tablet,SCD,rxnav,8,mg,NULL
10689,352362,Acetaminophen / Tramadol,MIN,rxnav,,,0.1
1819,352364,Buprenorphine / Naloxone,MIN,rxnav,,,NULL
7052,352452,Avinza,BN,rxnav,,,1
5489,352575,De-Chlor HC,BN,rxnav,,,1
5489,352693,Hydro GP,BN,rxnav,,,1
5489,352694,Hydro-PC II,BN,rxnav,,,1
5489,352699,Hydron CP,BN,rxnav,,,1
5489,352700,Hydron EX,BN,rxnav,,,1
1819,352990,Suboxone,BN,rxnav,,,NULL
10689,353062,Ultracet,BN,rxnav,,,0.1
1819,353390,Buprenorphine 2 MG,SCDC,rxnav,2,mg,NULL
1819,353391,Buprenorphine 8 MG,SCDC,rxnav,8,mg,NULL
3423,358355,Dilaudid Cough,BN,rxnav,,,4
4337,360444,Fentanyl 0.004 MG/ML,SCDC,rxnav,0.004,mg/ml,NULL
480,360846,Alfentanil 5 MG/ML,SCDC,rxnav,5,mg/ml,NULL
5489,363929,Chlorpheniramine / Hydrocodone / Phenylephrine Oral Solution [Hydro-PC II],SBDF,rxnav,,,1
6813,363965,Methadone Oral Solution [Methadose],SBDF,rxnav,,,NULL
2670,364048,Codeine / Guaifenesin / Pseudoephedrine Oral Solution [Cheratussin DAC],SBDF,rxnav,,,0.15
2670,364050,Codeine / Guaifenesin / Pseudoephedrine Oral Solution [Nucofed Expectorant],SBDF,rxnav,,,0.15
7804,364080,Oxycodone Oral Solution [Oxyfast],SBDF,rxnav,,,1.5
5489,364396,Chlorpheniramine / Hydrocodone / Phenylephrine Oral Solution [Hydron CP],SBDF,rxnav,,,1
5489,364502,Chlorpheniramine / Hydrocodone / Phenylephrine Oral Solution [B-Tuss],SBDF,rxnav,,,1
2670,364552,Chlorpheniramine / Codeine / Pseudoephedrine Oral Solution [Phenylhistine DH],SBDF,rxnav,,,0.15
7804,364708,Acetaminophen / Oxycodone Oral Solution [Roxicet],SBDF,rxnav,,,1.5
5489,364908,Chlorpheniramine / Hydrocodone / Phenylephrine Oral Solution [De-Chlor HC],SBDF,rxnav,,,1
23088,366382,Aspirin / Caffeine / dihydrocodeine Oral Capsule [Synalgos-DC],SBDF,rxnav,,,0.25
2670,366384,Aspirin / butalbital / Caffeine / Codeine Oral Capsule [Fiorinal with Codeine],SBDF,rxnav,,,0.15
2670,366536,Acetaminophen / butalbital / Caffeine / Codeine Oral Capsule [Fioricet with Codeine],SBDF,rxnav,,,0.15
2670,366726,Codeine / Pseudoephedrine Oral Capsule [Nucofed],SBDF,rxnav,,,0.15
7052,366919,Morphine Extended Release Oral Capsule [Kadian],SBDF,rxnav,,,1
7052,367140,Morphine Extended Release Oral Capsule [Avinza],SBDF,rxnav,,,1
4337,367214,Fentanyl Oral Lozenge [Actiq],SBDF,rxnav,,,NULL
5489,367843,Acetaminophen / Hydrocodone Oral Tablet [Lorcet],SBDF,rxnav,,,1
5489,367870,Acetaminophen / Hydrocodone Oral Tablet [Hy-Phen],SBDF,rxnav,,,1
8785,368084,Propoxyphene Oral Tablet [Darvon-N],SBDF,rxnav,,,NULL
7804,368158,Oxycodone Oral Tablet [Roxicodone],SBDF,rxnav,,,1.5
5489,368308,Hydrocodone / Ibuprofen Oral Tablet [Vicoprofen],SBDF,rxnav,,,1
5489,368362,Acetaminophen / Hydrocodone Oral Tablet [Lortab],SBDF,rxnav,,,1
6813,368846,Methadone Oral Tablet [Methadose],SBDF,rxnav,,,NULL
6813,368847,Methadone Oral Tablet [Dolophine],SBDF,rxnav,,,NULL
3423,368895,Hydromorphone Oral Tablet [Dilaudid],SBDF,rxnav,,,4
2670,369248,Acetaminophen / Codeine Oral Tablet [Tylenol with Codeine],SBDF,rxnav,,,0.15
5489,369266,Hydrocodone / Pseudoephedrine Oral Tablet [P-V-Tussin],SBDF,rxnav,,,1
10689,369283,Tramadol Oral Tablet [Ultram],SBDF,rxnav,,,0.1
5489,369336,homatropine / Hydrocodone Oral Tablet [Tussigon],SBDF,rxnav,,,1
10689,369486,Acetaminophen / Tramadol Oral Tablet [Ultracet],SBDF,rxnav,,,0.1
7052,369896,Morphine Extended Release Oral Tablet [MS Contin],SBDF,rxnav,,,1
7804,370158,Oxycodone Extended Release Oral Tablet [Oxycontin],SBDF,rxnav,,,1.5
5489,370641,Acetaminophen / Hydrocodone Oral Tablet,SCDF,rxnav,,,1
5489,370642,Acetaminophen / Hydrocodone Oral Capsule,SCDF,rxnav,,,1
5489,370643,Aspirin / Hydrocodone Oral Tablet,SCDF,rxnav,,,1
5489,370644,homatropine / Hydrocodone Oral Tablet,SCDF,rxnav,,,1
3423,370653,Hydromorphone Oral Solution,SCDF,rxnav,,,4
3423,370654,Hydromorphone Oral Tablet,SCDF,rxnav,,,4
3423,370655,Hydromorphone Rectal Suppository,SCDF,rxnav,,,4
5489,370676,Hydrocodone / Ibuprofen Oral Tablet,SCDF,rxnav,,,1
2670,370748,Acetaminophen / Codeine Oral Capsule,SCDF,rxnav,,,0.15
2670,370751,Acetaminophen / Codeine Oral Solution,SCDF,rxnav,,,0.15
2670,370752,Acetaminophen / Codeine Oral Suspension,SCDF,rxnav,,,0.15
2670,370754,Acetaminophen / Codeine Oral Tablet,SCDF,rxnav,,,0.15
5489,370759,Acetaminophen / Hydrocodone Oral Solution,SCDF,rxnav,,,1
23088,370763,Acetaminophen / dihydrocodeine Oral Tablet,SCDF,rxnav,,,0.25
2670,370943,Aspirin / Codeine Oral Tablet,SCDF,rxnav,,,0.15
7676,370998,Belladonna Alkaloids / Opium Rectal Suppository,SCDF,rxnav,,,1
1819,371161,Buprenorphine Sublingual Tablet,SCDF,rxnav,,,NULL
5489,371454,Chlorpheniramine / Hydrocodone Oral Solution,SCDF,rxnav,,,1
2670,371610,Codeine Oral Solution,SCDF,rxnav,,,0.15
2670,371613,Codeine Oral Tablet,SCDF,rxnav,,,0.15
2670,371616,Codeine / Guaifenesin Oral Solution,SCDF,rxnav,,,0.15
2670,371618,Codeine / Guaifenesin Oral Tablet,SCDF,rxnav,,,0.15
23088,371838,dihydrocodeine Oral Tablet,SCDF,rxnav,,,0.25
23088,371839,dihydrocodeine Extended Release Oral Tablet,SCDF,rxnav,,,0.25
4337,372161,Fentanyl Oral Lozenge,SCDF,rxnav,,,NULL
5489,372410,Hydrocodone Oral Tablet,SCDF,rxnav,,,1
5489,372412,Guaifenesin / Hydrocodone Oral Solution,SCDF,rxnav,,,1
3423,372427,Hydromorphone Extended Release Oral Capsule,SCDF,rxnav,,,4
2670,372455,Codeine / Ibuprofen Oral Tablet,SCDF,rxnav,,,0.15
2670,372456,Codeine / Ibuprofen Extended Release Oral Tablet,SCDF,rxnav,,,0.15
6378,372593,Levorphanol Oral Tablet,SCDF,rxnav,,,11
6754,372766,Meperidine Oral Tablet,SCDF,rxnav,,,0.1
6813,372806,Methadone Oral Solution,SCDF,rxnav,,,NULL
6813,372808,Methadone Oral Tablet,SCDF,rxnav,,,NULL
7052,372957,Morphine Rectal Suppository,SCDF,rxnav,,,1
7052,372959,Morphine Oral Tablet,SCDF,rxnav,,,1
7052,372960,Morphine Extended Release Oral Tablet,SCDF,rxnav,,,1
7052,372961,Morphine Oral Capsule,SCDF,rxnav,,,1
7804,373195,Oxycodone Oral Capsule,SCDF,rxnav,,,1.5
7804,373196,Oxycodone Oral Solution,SCDF,rxnav,,,1.5
7804,373197,Oxycodone Rectal Suppository,SCDF,rxnav,,,1.5
7804,373198,Oxycodone Oral Tablet,SCDF,rxnav,,,1.5
7804,373199,Acetaminophen / Oxycodone Oral Solution,SCDF,rxnav,,,1.5
7804,373200,Acetaminophen / Oxycodone Oral Tablet,SCDF,rxnav,,,1.5
8001,373273,Pentazocine Oral Capsule,SCDF,rxnav,,,0.37
8001,373274,Pentazocine Oral Tablet,SCDF,rxnav,,,0.37
8001,373276,Pentazocine Rectal Suppository,SCDF,rxnav,,,0.37
8001,373277,Acetaminophen / Pentazocine Oral Tablet,SCDF,rxnav,,,0.37
8001,373278,Aspirin / Pentazocine Oral Tablet,SCDF,rxnav,,,0.37
5489,373362,Hydrocodone / Phenylephrine Oral Solution,SCDF,rxnav,,,1
8785,373641,Propoxyphene Oral Capsule,SCDF,rxnav,,,NULL
8785,373642,Propoxyphene Oral Tablet,SCDF,rxnav,,,NULL
8785,373644,Acetaminophen / Propoxyphene Oral Tablet,SCDF,rxnav,,,NULL
2670,373678,Codeine / Pseudoephedrine Oral Capsule,SCDF,rxnav,,,0.15
5489,373681,Hydrocodone / Pseudoephedrine Oral Solution,SCDF,rxnav,,,1
5489,373682,Hydrocodone / Pseudoephedrine Oral Tablet,SCDF,rxnav,,,1
10689,374169,Tramadol Oral Capsule,SCDF,rxnav,,,0.1
10689,374171,Tramadol Oral Solution,SCDF,rxnav,,,0.1
10689,374173,Tramadol Oral Tablet,SCDF,rxnav,,,0.1
10689,374174,Tramadol Extended Release Oral Tablet,SCDF,rxnav,,,0.1
6754,374389,Meperidine / Promethazine Oral Capsule,SCDF,rxnav,,,0.1
1841,374603,Butorphanol Nasal Spray,SCDF,rxnav,,,7
7052,374654,Morphine Extended Release Oral Capsule,SCDF,rxnav,,,1
2670,374689,Codeine / Guaifenesin / Pseudoephedrine Oral Solution,SCDF,rxnav,,,0.15
5489,374696,Guaifenesin / Hydrocodone / Pseudoephedrine Oral Solution,SCDF,rxnav,,,1
8785,374702,Aspirin / Caffeine / Propoxyphene Oral Capsule,SCDF,rxnav,,,NULL
7804,374711,Aspirin / Oxycodone Oral Tablet,SCDF,rxnav,,,1.5
2670,374756,Aspirin / butalbital / Caffeine / Codeine Oral Capsule,SCDF,rxnav,,,0.15
23088,374757,Aspirin / Caffeine / dihydrocodeine Oral Capsule,SCDF,rxnav,,,0.25
2670,374760,Aspirin / Carisoprodol / Codeine Oral Tablet,SCDF,rxnav,,,0.15
23088,374787,Acetaminophen / Caffeine / dihydrocodeine Oral Capsule,SCDF,rxnav,,,0.25
5489,374790,Chlorpheniramine / Hydrocodone / Pseudoephedrine Oral Solution,SCDF,rxnav,,,1
2670,374804,Chlorpheniramine / Codeine / Pseudoephedrine Oral Solution,SCDF,rxnav,,,0.15
5489,374808,Chlorpheniramine / Hydrocodone / Phenylephrine Oral Solution,SCDF,rxnav,,,1
2670,374830,Acetaminophen / butalbital / Caffeine / Codeine Oral Capsule,SCDF,rxnav,,,0.15
5489,375442,Guaifenesin / Hydrocodone / Phenylephrine Oral Solution,SCDF,rxnav,,,1
7804,375581,Acetaminophen / Oxycodone Oral Capsule,SCDF,rxnav,,,1.5
23088,375674,Acetaminophen / Caffeine / dihydrocodeine Oral Tablet,SCDF,rxnav,,,0.25
5489,375684,Brompheniramine / Guaifenesin / Hydrocodone Oral Solution,SCDF,rxnav,,,1
5489,375703,Brompheniramine / Hydrocodone / Pseudoephedrine Oral Solution,SCDF,rxnav,,,1
2670,375719,Codeine / Promethazine Oral Solution,SCDF,rxnav,,,0.15
237005,375857,Levomethadyl Oral Solution,SCDF,rxnav,,,NULL
2670,376065,Brompheniramine / Codeine / Phenylephrine Oral Solution,SCDF,rxnav,,,0.15
2670,376076,Codeine / Phenylephrine / Promethazine Oral Solution,SCDF,rxnav,,,0.15
2670,376079,Aluminum Hydroxide / Aspirin / Codeine / Magnesium Hydroxide Oral Tablet,SCDF,rxnav,,,0.15
2670,376200,Chlorpheniramine / Codeine Oral Solution,SCDF,rxnav,,,0.15
2670,376420,Chlorpheniramine / Codeine / Phenylephrine Oral Solution,SCDF,rxnav,,,0.15
7676,377949,Opium Oral Solution,SCDF,rxnav,,,1
2670,378123,Acetaminophen / Codeine / Pseudoephedrine Oral Tablet,SCDF,rxnav,,,0.15
2670,378347,Brompheniramine / Codeine / Phenylpropanolamine Oral Solution,SCDF,rxnav,,,0.15
2670,378591,Codeine / Pseudoephedrine Oral Solution,SCDF,rxnav,,,0.15
10689,378712,Acetaminophen / Tramadol Oral Tablet,SCDF,rxnav,,,0.1
